abstract,id,title,journal,year,author
"Cilia are widespread eukaryotic subcellular organelles that function in cell motility, movement of extracellular fluids and sensory reception. While structure and function of cilia are well known, there are many questions with regard to cilia formation and development. The gene daf-19, encoding an RFX-family transcription factor, is crucial for the formation of cilia of sensory neurons. DAF-19 regulates the activity of its target genes by binding to the x-box promoter motif. The C. elegans genome has more than 200 candidate x-box genes. We have initiated expression analysis of these candidate genes. Our results suggest that only genes with x-boxes of a certain nucleotide composition will be expressed in most or all ciliated neurons. Using this consensus sequence we have identified new genes such as the dynein-complex gene xbx-1 that is involved in retrograde cilium transport, and genes D1009.5 and F20D12.3 that are also thought to be very important for cilium structure and function. The roles of new cilium genes are being determined by using RNAi, by generating knockouts and by interaction screens with already known cilium components. Based on the data obtained so far we conclude that DAF-19 typically regulates genes for cilium structure and transport machinery, whereas genes for signal reception and transduction do not require its function. Thus, the x-box search strategy represents a powerful tool for discovering new cilium genes in C. elegans. The knowledge of cilium genes and their function is very important for understanding human pathologies that are caused by defects in cilia.",WBPaper00019342,The X-BOX - a major regulatory motif of ciliogenesis in C. elegans,International Worm Meeting,2003,Evgeni Efimenko|Peter Swoboda
"Like any mobile organism, C. elegans relies on sensory cues to find food.  In the absence of such cues, defined search patterns or other stereotypical behaviors may be observed. We are characterizing the movement pattern of C. elegans in the absence of chemotactic stimuli, over time scales comparable to that of starvation.  To this end, we devised a flatbed scanner-based imaging setup that enables us to collect individual animals' trajectories over large (24 cm x 24 cm) Petri dishes.   Surprisingly, the majority (~60%) of wild-type trajectories display persistence in the direction of motion over length scales that are 50-100 times the animal's body length.   A preliminary dataset of trajectories acquired with an independent camera-based imaging setup qualitatively confirmed this result.   Synthetic trajectories generated from the same angle and step distributions of individual trajectories show that persistence of motion cannot be accounted for by a simple random walk model of locomotion.   To determine whether sensory perception is required for the animals' directional behavior, we analyzed the trajectories of animals with impaired sensory function.   We found that animals mutant for either tax-2 or tax-4, which encode subunits of a cGMP-gated channel required for several sensory modalities, do not show directional behavior.   However, daf-19 mutants, which lack all chemosensory and mechanosensory cilia, display wild-type directional behavior, albeit at a lower percentage (~20%).   Targeting thermosensation specifically with a gcy-8; gcy-18; gcy-23 triple mutation fails to suppress directional behavior.  To gain further insight into the role of sensory neurons in directionality we are currently performing cell-specific rescue of tax-4 function.",WBPaper00037256,Biased motion in unbiased environments: are the worms navigating?,"Neuronal Development, Synaptic Function and Behavior, Madison, WI",2010,Peliti M|Chuang J S|Leibler S|Shaham S
"BACKGROUND:  When resources are scant, C. elegans larvae arrest as long-lived dauers under the control of insulin/IGF- and TGFbeta-related signaling pathways. However, critical questions remain regarding the regulation of this developmental event. How do three dozen insulin-like proteins regulate one tyrosine kinase receptor to control complex events in dauer, metabolism and aging? How are signals from the TGFbeta and insulin/IGF pathways integrated? What gene expression programs do these pathways regulate, and how do they control complex downstream events?RESULTS:  We have identified genes that show different levels of expression in a comparison of wild-type L2 or L3 larvae (non-dauer) to TGFbeta mutants at similar developmental stages undergoing dauer formation. Many insulin/IGF pathway and other known dauer regulatory genes have changes in expression that suggest strong positive feedback by the TGFbeta pathway. In addition, many insulin-like ligand and novel genes with similarity to the extracellular domain of insulin/IGF receptors have altered expression. We have identified a large group of regulated genes with putative binding sites for the FOXO transcription factor, DAF-16. Genes with DAF-16 sites upstream of the transcription start site tend to be upregulated, whereas genes with DAF-16 sites downstream of the coding region tend to be downregulated. Finally, we also see strong regulation of many novel hedgehog- and patched-related genes, hormone biosynthetic genes, cell cycle genes, and other regulatory genes.CONCLUSIONS:  The feedback regulation of insulin/IGF pathway and other dauer genes that we observe would be predicted to amplify signals from the TGFbeta pathway; this amplification may serve to ensure a decisive choice between ""dauer"" and ""non-dauer"", even if environmental cues are ambiguous. Up and down regulation of insulin-like ligands and novel genes with similarity to the extracellular domain of insulin/IGF receptors suggests opposing roles for several members of these large gene families. Unlike in adults, most genes with putative DAF-16 binding sites are upregulated during dauer entry, suggesting that DAF-16 has different activity in dauer versus adult metabolism and aging. However, our observation that the position of putative DAF-16 binding sites is correlated with the direction of regulation suggests a novel method of achieving gene-specific regulation from a single pathway. We see evidence of TGFbeta-mediated regulation of several other classes of regulatory genes, and we discuss possible functions of these genes in dauer formation.",WBPaper00024393,Regulation of signaling genes by TGFbeta during entry into dauer diapause in C. elegans.,BMC Dev Biol,2004,Liu T|Zimmerman KK|Patterson GI
"OBJECTIVE: Mitochondrial ""retrograde"" signaling may stimulate organelle biogenesis as a compensatory adaptation to aberrant activity of the oxidative phosphorylation (OXPHOS) system. To maintain energy-consuming processes in OXPHOS deficient cells, alternative metabolic pathways are functionally coupled to the degradation, recycling and redistribution of biomolecules across distinct intracellular compartments. While transcriptional regulation of mitochondrial network expansion has been the focus of many studies, the molecular mechanisms promoting mitochondrial maintenance in energy-deprived cells remain poorly investigated. METHODS: We performed transcriptomics, quantitative proteomics and lifespan assays to identify pathways that are mechanistically linked to mitochondrial network expansion and homeostasis in Caenorhabditis elegans lacking the mitochondrial calcium uptake protein 1 (MICU-1/MICU1). To support our findings, we carried out biochemical and image analyses in mammalian cells and mouse-derived tissues. RESULTS: We report that micu-1(null) mutations impair the OXPHOS system and promote C. elegans longevity through a transcriptional program that is independent of the mitochondrial calcium uniporter MCU-1/MCU and the essential MCU regulator EMRE-1/EMRE. We identify sphingosine phosphate lyase SPL-1/SGPL1 and the ATFS-1-target HOPS complex subunit VPS-39/VPS39 as critical lifespan modulators of micu-1(null) mutant animals. Cross-species investigation indicates that SGPL1 upregulation stimulates VPS39 recruitment to the mitochondria, thereby enhancing mitochondria-lysosome contacts. Consistently, VPS39 downregulation compromises mitochondrial network maintenance and basal autophagic flux in MICU1 deficient cells. In mouse-derived muscles, we show that VPS39 recruitment to the mitochondria may represent a common signature associated with altered OXPHOS system. CONCLUSIONS: Our findings reveal a previously unrecognized SGPL1/VPS39 axis that stimulates intracellular organelle interactions and sustains autophagy and mitochondrial homeostasis in OXPHOS deficient cells.",WBPaper00063976,SGPL1 stimulates VPS39 recruitment to the mitochondria in MICU1 deficient cells.,Mol Metab,2022,Jackson J|Wischhof L|Scifo E|Pellizzer A|Wang Y|Piazzesi A|Gentile D|Siddig S|Stork M|Hopkins CE|Handler K|Weis J|Roos A|Schultze JL|Nicotera P|Ehninger D|Bano D
"In an effort to tag genes that affect dauer larva formation, we have been using mutator strains to screen for spontaneous dauer- constitutive (daf) mutants, which form dauer larvae in the presence of food. The three strains used were TR679, DR842, and RW7097. TR679 has been described by Anderson et al., WBG 9(1): 29. DR842 is an unc-22(+) revertant of RW7080. The latter strain has approximately 70 copies of Tc1 and mutator loci on both LG I (mut-4) and LG II (mut-5). RW7097 contains 50-70 copies of Tc1 and a mutator, mut-6 IV. (Descriptions of RW7080 and RW7097 provided by Ikue Mori and Don Moerman, personal communication.) One worm was placed on each of many large plates at 20 C and the progeny (F2-F3 generations) screened just before the food supply was depleted (1,000 - 3,000 worms per plate). Populations of TR679 had to be screened visually because dauer larvae formed by this strain are SDS-sensitive. DR842 and RW7097 were screened visually and with SDS. We found mutations in three dauer-constitutive genes -- daf-1 IV, daf-24 11 (a new gene), and an X-linked daf that has a phenotype similar to daf-9(e1406). We also saved spontaneous dumpy mutants from visual screening, including three alleles of dpy-13, which are of interest to us because of the close proximity of dpy-13 to ama-1 IV ( see Bird and Riddle, this issue). Twitchers, presumably unc-22, were found quite frequently but not kept. Screens were performed on worms grown at 20 C, because fertility is low at 25 C. In having to select for dauer larvae formed at 20 C, we biased the screen against temperature-sensitive mutants. All three alleles of daf-24 are non- conditional, as is the X-linked daf, and both spontaneous mutant alleles of daf - I form a high percentage of dauer larvae at I 5 C. We have concluded that Tc1 does not insert into dauer-constitutive genes at high frequency (perhaps with the exceptions of daf-1 and daf-24) and that spontaneous mutations in dpy-13 appear to be quite common (at least in DR842 and RW7097). One spontaneous revertant of daf-1 has been found thus far, and three spontaneous intragenic dpy-13 revertants have been found. Hence, these mutants exhibit some properties consistent with transposon insertions. {Figure 1}",WBPaper00016537,spontaneous daf and dpy mutants isolated from mutator strains.,Worm Breeder's Gazette,1986,Albert PS|Riddle DL
"The sensory cilia of C. elegans protrude from sensory neurons. Cilia are sensory organelles crowded with the membrane receptors and signalling machinery detecting external cues. The composition of cilia is tightly regulated by the IntraFlagellar Transport (IFT) machinery. Regulation of traffic in and out of the cilia by IFT is thought to be the main path controlling ciliary receptors.  In our work, we show that packing and disposal of ciliary receptors in extracellular vesicles budding from the cilia (=ectosomes) complement their retrieval by IFT. In-vivo live recordings show ectosomes formed at the cilia base and/or at the cilia tip of a subset of C. elegans sensory neurons. Ectosomes budding from cilia tip are environmentally released, while ectosomes produced from the cilia base are concomitantly phagocytosed by the associated glial cells. We identified 2 proteins of the Tetraspanin family as ciliary ectosome markers to explore ciliary ectosome biogenesis, export and capture by the associated glia. In addition, we show that at least three endogenous ciliary membrane receptors expressed in 2 different neurons are packed in ciliary ectosomes and exported to their associated glial cells.  Mutations in the BBSome (bbs-8) and cilia dynein motor (che-3) genes, responsible for IFT retrieval of ciliary receptors, increase the export of the salt-sensing receptor GCY-22 from ASER neurons via ectosomes, preventing GCY-22 accumulation in ASER cilia. Surprisingly, the daf-19 ciliogenesis mutant, which results in absence of cilia but does not prevent trafficking of GCY-22 to the distal dendrite, still packs and exports GCY-22 in ectosomes budding from ASER distal dendrite. We conclude that local accumulation of GCY-22 by cell trafficking -rather than presence of a cilia- triggers ectosome biogenesis.  The cilia base of most neurons is embedded in supporting glial cells, and ectosomes formed at the cilia base are readily taken up by these glial cells. We show that glial phagocytic activity is involved in ectosome uptake by glia. However, these ectosomes are still produced in absence of glia, suggesting ectosomes are intrinsically produced by the ciliated neurons. Interestingly, disturbing glia phagocytosis by ced-10 mutations or by expression of a dominant negative Dynamin leads to abnormal shape of the ciliary base and defects in associated behaviours. We suggest that a neuron-glia coordination exists to remove from the cilia surface the ectosomes packed with receptors in order to maintain proper cilia function.",WBPaper00063397,Ectosome uptake by glia sculpts Caenorhabditis elegans sensory cilia,International Worm Meeting,2021,"Razzauti Sanfeliu, Adria|Laurent, Patrick"
"C. elegans has a highly developed chemosensory system that enables it to detect a wide variety of volatile (olfactory) and water-soluble (gustatory) cues associated with food, danger, or other animals. Much of its nervous system and more than 5% of its genes are devoted to the recognition of environmental chemicals. Chemosensory cues can elicit chemotaxis, rapid avoidance, changes in overall motility, and entry into and exit from the alternative dauer developmental stage. These behaviors are regulated primarily by the amphid chemosensory organs, which contain eleven pairs of chemosensory neurons. Each amphid sensory neuron expresses a specific set of candidate receptor genes and detects a characteristic set of attractants, repellents, or pheromones. About 500-1000 different G protein-coupled receptors (GPCRs) are expressed in chemosensory neurons, and these may be supplemented by alternative sensory pathways as well. Downstream of the GPCRs, two signal transduction systems are prominent in chemosensation, one that uses cGMP as a second messenger to open cGMP-gated channels, and one that relies upon TRPV channels. These sensory pathways are modulated and fine-tuned by kinases and phosphatases. Chemosensory preferences can be modified by sensory adaptation, developmental history, and associative learning, allowing C. elegans to integrate context and experience into its behavior.",WBPaper00029015,Chemosensation in C. elegans.,WormBook,2006,Cornelia I. Bargmann
"Cilia were present in the last eukaryotic common ancestor (LECA) and were retained by most organisms spanning all extant eukaryotic lineages, including organisms in the Unikonta (Amoebozoa, fungi, choanoflagellates, and animals), Archaeplastida, Excavata, Chromalveolata, and Rhizaria. In certain animals, including humans, ciliary gene regulation is mediated by Regulatory Factor X (RFX) transcription factors (TFs). RFX TFs bind X-box promoter motifs and thereby positively regulate &gt;50 ciliary genes. Though RFX-mediated ciliary gene regulation has been studied in several bilaterian animals, little is known about the evolutionary conservation of ciliary gene regulation. Here, we explore the evolutionary relationships between RFX TFs and cilia. By sampling the genome sequences of &gt;120 eukaryotic organisms, we show that RFX TFs are exclusively found in unikont organisms (whether ciliated or not), but are completely absent from the genome sequences of all nonunikont organisms (again, whether ciliated or not). Sampling the promoter sequences of 12 highly conserved ciliary genes from 23 diverse unikont and nonunikont organisms further revealed that phylogenetic footprints of X-box promoter motif sequences are found exclusively in ciliary genes of certain animals. Thus, there is no correlation between cilia/ciliary genes and the presence or absence of RFX TFs and X-box promoter motifs in nonanimal unikont and in nonunikont organisms. These data suggest that RFX TFs originated early in the unikont lineage, distinctly after cilia evolved. The evolutionary model that best explains these observations indicates that the transcriptional rewiring of many ciliary genes by RFX TFs occurred early in the animal lineage.",WBPaper00037724,Regulatory Factor X (RFX)-mediated transcriptional rewiring of ciliary genes in animals.,Proc Natl Acad Sci U S A,2010,Piasecki BP|Burghoorn J|Swoboda P
"Animals sense their chemical environment using multiple chemosensory neuron types, each of which exhibits characteristic response properties. The chemosensory neurons of the nematode Caenorhabditis elegans provide an excellent system in which to explore the developmental mechanisms giving rise to this functional diversity. In this review, we discuss the principles underlying the patterning, generation, differentiation, and diversification of chemosensory neuron subtypes in C. elegans. Current knowledge of the molecular mechanisms underlying each of these individual steps is derived from work in different model organisms. It is essential to describe the complete developmental pathways in each organism to determine whether functional diversification in chemosensory systems is achieved via conserved or novel mechanisms. Such a complete description may be possible in C. elegans",WBPaper00006397,The worm's sense of smell. Development of functional diversity in the chemosensory system of Caenorhabditis elegans.,Dev Biol,2004,Melkman T|Sengupta P
"Cilia are an important cellular differentiation of sensory neurons for receiving information from the environment. 60 of the 302 C. elegans neurons have ciliated endings. Mutations in a large number of genes have been identified that affect the structure of these sensory cilia. Of these, daf-19 mutations are unique in completely lacking all sensory cilia. Aside from the absence of sensory cilia, the neurons seem to be morphologically normal. We previously reported that daf-19 encodes an RFX-type transcription factor that is expressed in ciliated sensory neurons.We also showed that DAF-19 regulates via its target site in promoter regions, the x-box, a number of effector genes involved in sensory cilium formation. These effector genes are expressed in essentially all ciliated sensory neurons and, when mutated, cause morphological defects in sensory cilia (e.g. che-2, osm-1, osm-6). Our results strongly suggest that DAF-19 regulates the differentiation of sensory cilia by activating the transcription of a battery of genes whose products form the sensory cilium. Cilia and flagella are structurally very similar subcellular organelles. Work done on the unicellular, flagellated green alga Chlamydomonas lead to an estimate of around 300 different protein components required for structure and function of flagella. We expect a similar number for cilium structure and function. We aim to initiate the identification of all ciliary components by analyzing genes that have an appropriately spaced x-box promoter element: so called xbx genes, hypothesized to be regulated by daf-19. In a first search through the C. elegans genome sequence, using an algorithm designed to find promoter elements, we uncovered more than 200 candidate xbx genes, several of which had C. briggsae homologues that also had an appropriately positioned x-box promoter element. Initial expression analyses of a subgroup of these xbx genes showed that, indeed, some of them were specifically expressed in ciliated sensory neurons in a daf-19 dependent manner. In another approach, using oligo-nucleotide arrays representing nearly all genes of C. elegans (1), we compared the gene expression profile of wild type and daf-19 mutants. A small group of genes was reproducibly down-regulated in a daf-19 background, among them known cilium-structure genes and several xbx genes. In combination with previous data about sensory cilia, these approaches have the potential to reveal all the genes required for sensory cilium function and structure. (1) in collaboration with Allan Jones (Rosetta Inpharmatics, Kirkland, WA, U.S.A.)",WBPaper00017119,The components of sensory cilia in C. elegans,West Coast Worm Meeting,2000,Bubb K|Thomas JH|Swoboda P
"Carbon dioxide is produced as a by-product of cellular respiration by all aerobic organisms and thus serves for many animals as an important indicator of food, mates, and predators. However, whether free-living terrestrial nematodes such as Caenorhabditis elegans respond to CO(2) was unclear. We have demonstrated that adult C. elegans display an acute avoidance response upon exposure to CO(2) that is characterized by the cessation of forward movement and the rapid initiation of backward movement. This response is mediated by a cGMP signaling pathway that includes the cGMP-gated heteromeric channel TAX-2/TAX-4. CO(2) avoidance is modulated by multiple signaling molecules, including the neuropeptide Y receptor NPR-1 and the calcineurin subunits TAX-6 and CNB-1. Nutritional status also modulates CO(2) responsiveness via the insulin and TGFbeta signaling pathways. CO(2) response is mediated by a neural circuit that includes the BAG neurons, a pair of sensory neurons of previously unknown function. TAX-2/TAX-4 function in the BAG neurons to mediate acute CO(2) avoidance. Our results demonstrate that C. elegans senses and responds to CO(2) using multiple signaling pathways and a neural network that includes the BAG neurons and that this response is modulated by the physiological state of the worm.",WBPaper00031936,Acute carbon dioxide avoidance in Caenorhabditis elegans.,Proc Natl Acad Sci U S A,2008,Hallem EA|Sternberg PW
"Cilia and flagella are important organelles involved in diverse functions such as fluid and cell movement, sensory perception, and embryonic patterning. They are devoid of protein synthesis, thus their formation and maintenance requires the movement of protein complexes from the cytoplasm into the cilium and flagellum axoneme by intraflagellar transport (IFT), a conserved process common to ciliated or flagellated eukaryotic cells. Mutations in murine Polaris ( Tg737 ) result in cystic kidney disease and left-right axis patterning defects associated with aberrant cilia formation or maintenance. Tg737 is expressed in ciliated epithelial cells, and the encoded protein, Polaris, localizes to the base of cilia and within the cilium axoneme. Here we characterize osm-5, the C. elegans homologue of the murine cystic kidney disease gene Tg737. osm-5 is expressed in ciliated sensory neurons and its expression is regulated by DAF-19, an RFX-type transcription factor, that governs the expression of several other genes involved in cilia formation in the worm. OSM-5 protein is predicted to contain ten tetratricopeptide repeats (TPRs), a motif involved in protein-protein interactions. Similar to murine Polaris, OSM-5 protein was found to concentrate at the cilium base and within the cilium axoneme by immunofluorescence and an OSM-5::GFP translational fusion. Furthermore, time-lapse imaging of OSM-5::GFP fusion protein shows fluorescent particle migration within the cilia. Analysis of three mutant osm-5 alleles indicates that osm-5 is required for cilia formation and that the TPRs are essential for proper function of the protein. Overall, our data support a conserved role for OSM-5 in ciliogenesis, most likely as a component of the IFT process.",WBPaper00018240,"osm-5, the C. elegans homologue of the murine cystic kidney disease gene Tg737, functions in a ciliogenic pathway",International C. elegans Meeting,2001,Courtney J Haycraft|Peter Swoboda|Patrick D Taulman|James H Thomas|Bradley K Yoder
"lov-1 and pkd-2 are the homologues of the human autosomal dominant polycystic kidney disease (ADPKD) genes PKD1 and PKD2. lov-1 and pkd-2 are required for male mating behavior and function as male sensory genes. These two genes are exclusively expressed in male specific neurons: four head CEMs, ray RnBs rarely (in R2B and R6B) and hook HOB from late L4 through adulthood. How lov-1 and pkd-2 are temporally and spatially regulated is largely unknown. egl-46 is required for pkd-2 expression in the HOB neuron, but not the CEMs or RnBs (Yu et al. 2003). daf-19 , an RFX transcription factor, is required for expression of several cilium structure genes (Swoboda et al. 2000) as well as pkd-2 (Yu et al. 2003). We are interested in understanding the mechanisms underlying lov-1 and pkd-2 transcriptional regulation, male sensory neuronal development, and male mating behavior. n4132 was obtained in a screen for ceh-30 suppressors (See 2004 East Coast Worm Meeting abstract 248 Varner et al. ) and found to prevent pkd-2 expression. Our further characterization shows that the n4132 mutant lacks expression of both lov-1 and pkd-2 but not cilia structure genes such as osm-5 and osm-6 . In contrast to daf-19 mutants, we propose that n4132 disrupts transcriptional regulation of certain male sensory genes but not general cilia structure genes. I will describe the mapping, cloning, and molecular characterization of this new gene. References Swoboda P. et al. (2000). Molecular Cell 5: 411-421. Yu, H. et al. (2003). Development 130(21): 5217-5227.",WBPaper00024071,Characterization of a mutant affecting ADPKD Homologue Gene Expression and Male Mating,West Coast Worm Meeting,2004,Juan Wang|Maureen M Barr
"During development, signal-regulated transcription factors (TFs) act as basal repressors and upon signalling through morphogens or cell-to-cell signalling shift to activators, mediating precise and transient responses. Conversely, at the final steps of neuron specification, terminal selector TFs directly initiate and maintain neuron-type specific gene expression through enduring functions as activators. C. elegans contains 3 types of serotonin synthesising neurons that share the expression of the serotonin biosynthesis pathway genes but not of other effector genes. Here, we find an unconventional role for LAG-1, the signal-regulated TF mediator of the Notch pathway, as terminal selector for the ADF serotonergic chemosensory neuron, but not for other serotonergic neuron types. Regulatory regions of ADF effector genes contain functional LAG-1 binding sites that mediate activation but not basal repression. lag-1 mutants show broad defects in ADF effector genes activation, and LAG-1 is required to maintain ADF cell fate and functions throughout life. Unexpectedly, contrary to reported basal repression state for LAG-1 prior to Notch receptor activation, gene expression activation in the ADF neuron by LAG-1 does not require Notch signalling, demonstrating a default activator state for LAG-1 independent of Notch. We hypothesise that the enduring activity of terminal selectors on target genes required uncoupling LAG-1 activating role from receiving the transient Notch signalling.",WBPaper00061641,"The transcription factor LAG-1/CSL plays a Notch-independent role in controlling terminal differentiation, fate maintenance, and plasticity of serotonergic chemosensory neurons.",PLoS Biol,2021,Maicas M|Jimeno-Martin A|Millan-Trejo A|Alkema MJ|Flames N
"The transition zone (TZ) ciliary subcompartment is thought to control cilium composition and signalling by facilitating a protein diffusion barrier at the ciliary base. TZ defects cause ciliopathies such as Meckel-Gruber syndrome (MKS), nephronophthisis (NPHP) and Joubert syndrome (JBTS). However, the molecular composition and mechanisms underpinning TZ organization and barrier regulation are poorly understood. To uncover candidate TZ genes, we employed bioinformatics (coexpression and co-evolution) and identified TMEM107 as a TZ protein mutated in oral-facial-digital syndrome and JBTS patients. Mechanistic studies in Caenorhabditis elegans showed that TMEM-107 controls ciliary composition and functions redundantly with NPHP-4 to regulate cilium integrity, TZ docking and assembly of membrane to microtubule Y-link connectors. Furthermore, nematode TMEM-107 occupies an intermediate layer of the TZ-localized MKS module by organizing recruitment of the ciliopathy proteins MKS-1, TMEM-231 (JBTS20) and JBTS-14 (TMEM237). Finally, MKS module membrane proteins are immobile and super-resolution microscopy in worms and mammalian cells reveals periodic localizations within the TZ. This work expands the MKS module of ciliopathy-causing TZ proteins associated with diffusion barrier formation and provides insight into TZ subdomain architecture.",WBPaper00048909,TMEM107 recruits ciliopathy proteins to subdomains of the ciliary transition zone and causes Joubertsyndrome.,Nat Cell Biol,2016,Lambacher NJ|Bruel AL|van Dam TJ|Szymaska K|Slaats GG|Kuhns S|McManus GJ|Kennedy JE|Gaff K|Wu KM|van der Lee R|Burglen L|Doummar D|Riviere JB|Faivre L|Attie-Bitach T|Saunier S|Curd A|Peckham M|Giles RH|Johnson CA|Huynen MA|Thauvin-Robinet C|Blacque OE
"Cellular diversity in the nervous system arises from the presence of multiple neuronal subtypes, each of which is specialized to perform a unique function. Work in Caenorhabditis elegans has begun to reveal the pathways that are essential for the specification of identities of neuronal subtypes in its chemosensory system. The functions of each chemosensory neuron subtype are specified by distinct developmental cascades, using molecules from well-conserved transcription factor families. Additional cellular complexity is generated by novel mechanisms that further diversify the identities of the left and right members of a bilateral sensory neuron pair.",WBPaper00006457,Specification of chemosensory neuron subtype identities in Caenorhabditis elegans.,Curr Opin Neurobiol,2004,Lanjuin A|Sengupta P
"Cilia and flagella are microtubule-based structures nucleated by modified centrioles termed basal bodies. These biochemically complex organelles have more than 250 and 150 polypeptides, respectively. To identify the proteins involved in ciliary and basal body biogenesis and function, we undertook a comparative genomics approach that subtracted the nonflagellated proteome of Arabidopsis from the shared proteome of the ciliated/flagellated organisms Chlamydomonas and human. We identified 688 genes that are present exclusively in organisms with flagella and basal bodies and validated these data through a series of in silico, in vitro, and in vivo studies. We then applied this resource to the study of human ciliation disorders and have identified BBS5, a novel gene for Bardet-Biedl syndrome. We show that this novel protein localizes to basal bodies in mouse and C. elegans, is under the regulatory control of daf-19, and is necessary for the generation of both cilia and flagella.",WBPaper00013451,Comparative genomics identifies a flagellar and basal body proteome that includes the BBS5 human disease gene.,Cell,2004,Li JB|Gerdes JM|Haycraft CJ|Fan Y|Teslovich TM|May-Simera H|Li H|Blacque OE|Li L|Leitch CC|Lewis RA|Green JS|Parfrey PS|Leroux MR|Davidson WS|Beales PL|Guay-Woodford LM|Yoder BK|Stormo GD|Katsanis N|Dutcher SK
"Caenorhabditis elegans senses environmental signals through ciliated sensory neurons located primarily in sensory organs in the head and tail. Cilia function as sensory receptors, and mutants with defective sensory cilia have impaired sensory perception. Cilia are membrane-bound microtubule-based structures and in C. elegans are only found at the dendritic endings of sensory neurons. Here we show that mutations that cause defects in sensory cilia or their support cells, or in sensory signal transduction, extend lifespan. Our findings imply that sensory perception regulates the lifespan of this animal, and suggest that in nature, its lifespan may be regulated by environmental cues.AD - Department of Biochemistry and Biophysics, University of California at San Francisco, 94143-0448, USA.FAU - Apfeld, JAU - Apfeld JFAU - Kenyon, CAU - Kenyon CLA - engPT - Journal ArticleCY - ENGLANDTA - NatureJID - 0410462RN - 0 (DAF-16 transcription factor)RN - 0 (DAF-2 protein)RN - 0 (Helminth Proteins)RN - 0 (Transcription Factors)RN - EC 2.7.11.- (Receptor, Insulin)SB - IM",WBPaper00003835,Regulation of lifespan by sensory perception in Caenorhabditis elegans.,Nature,1999,Apfeld J|Kenyon CJ
"Chromatin regulators contribute to the maintenance of the germline transcriptional program. In the absence of SET-2, the <i>Caenorhabditis elegans</i> homolog of the SET1/COMPASS H3 Lys4 (H3K4) methyltransferase, animals show transgenerational loss of germline identity, leading to sterility. To identify transcriptional signatures associated with progressive loss of fertility, we performed expression profiling of <i>set-2</i> mutant germlines across generations. We identify a subset of genes whose misexpression is first observed in early generations, a step we refer to as priming; their misexpression then further progresses in late generations, as animals reach sterility. Analysis of misregulated genes shows that down-regulation of germline genes, expression of somatic transcriptional programs, and desilencing of the X-chromosome are concurrent events leading to loss of germline identity in both early and late generations. Upregulation of transcription factor LIN-15B, the C/EBP homolog CEBP-1, and TGF- pathway components strongly contribute to loss of fertility, and RNAi inactivation of <i>cebp-1</i> and TGF-/Smad signaling delays the onset of sterility, showing they individually contribute to maintenance of germ cell identity. Our approach therefore identifies genes and pathways whose misexpression actively contributes to the loss of germ cell fate. More generally, our data shows how loss of a chromatin regulator in one generation leads to transcriptional changes that are amplified over subsequent generations, ultimately leading to loss of appropriate cell fate.",WBPaper00060493,<i>Caenorhabditis elegans</i> SET1/COMPASS Maintains Germline Identity by Preventing Transcriptional Deregulation Across Generations.,Front Cell Dev Biol,2020,Robert VJ|Knutson AK|Rechtsteiner A|Garvis S|Yvert G|Strome S|Palladino F
"This book is part of an on-going series presenting collections of original research papers and literature reviews on diverse topics in molecular and cellular biology. This volume houses 34 literature reviews and research summaries on various aspects of the biology of Caenorhabditis elegans, a nematode of extraordinary usefulness as a research model. Topics include: the genome, mutation, transcription and its regulation, sex determination, male development, nervous system patterning, feeding and defecation, neural plasticity, and evolution. Appendices house a list of characterized genes, on-line resources, and other information. The text is illustrated, indexed, and includes a common bibliography of over 2000 literature citations.",WBPaper00004071,C. elegans II,,1997,Riddle DL|Blumenthal TE|Meyer BJ|Priess JR
"How signaling domains form is an important, yet largely unexplored question. Here, we show that ciliary proteins help establish two contiguous, yet distinct cyclic GMP (cGMP) signaling compartments in Caenorhabditis elegans thermosensory AFD neurons. One compartment, a bona fide cilium, is delineated by proteins associated with Bardet-Biedl syndrome (BBS), Meckel syndrome and nephronophthisis at its base, and requires NPHP-2 (known as inversin in mammals) to anchor a cGMP-gated ion channel within the proximal ciliary region. The other, a subcompartment with profuse microvilli and a different lipid environment, is separated from the dendrite by a cellular junction and requires BBS-8 and DAF-25 (known as Ankmy2 in mammals) for correct localization of guanylyl cyclases needed for thermosensation. Consistent with a requirement for a membrane diffusion barrier at the subcompartment base, we reveal the unexpected presence of ciliary transition zone proteins where no canonical transition zone ultrastructure exists. We propose that differential compartmentalization of signal transduction components by ciliary proteins is important for the functions of ciliated sensory neurons.",WBPaper00045913,Ciliopathy proteins establish a bipartite signaling compartment in a C. elegans thermosensory neuron.,J Cell Sci,2014,Nguyen PA|Liou W|Hall DH|Leroux MR
Nervous systems are characterized by an astounding degree of cellular diversity. The nematode Caenorhabditis elegans has served as a valuable model system to define the genetic programs that serve to generate cellular diversity in the nervous system. This review discusses neuronal diversity in C. elegans and provides an overview of the molecular mechanisms that define and specify neuronal cell types in C. elegans.,WBPaper00027299,Specification of the nervous system.,WormBook,2005,Oliver Hobert
