Journal Name,ISSN,2021 JIF,eISSN,Category
Clinical Spine Surgery,2380-0186,1.723,2380-0186,ORTHOPEDICS - SCIE(Q3); CLINICAL NEUROLOGY - SCIE(Q4)
Advances in Theoretical and Mathematical Physics,1095-0761,1.722,1095-0753,"PHYSICS, MATHEMATICAL - SCIE(Q2); PHYSICS, PARTICLES & FIELDS - SCIE(Q3)"
ANNALS OF CARNEGIE MUSEUM,0097-4463,1.722,1943-6300,ZOOLOGY - SCIE(Q2); PALEONTOLOGY - SCIE(Q3)
Annali di Botanica,0365-0812,1.722,2239-3129,PLANT SCIENCES - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q4)
Algorithms for Molecular Biology,N/A,1.721,1748-7188,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q3); BIOCHEMICAL RESEARCH METHODS - SCIE(Q4); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q4)
SPE DRILLING & COMPLETION,1064-6671,1.721,1930-0204,"ENGINEERING, PETROLEUM - SCIE(Q2)"
Human Service Organizations Management Leadership & Governance,2330-3131,1.721,2330-314X,SOCIAL WORK - SSCI(Q3); PUBLIC ADMINISTRATION - SSCI(Q4)
FOLIA GEOBOTANICA,1211-9520,1.721,1874-9348,PLANT SCIENCES - SCIE(Q3)
International Journal of Bilingualism,1367-0069,1.721,1756-6878,LANGUAGE & LINGUISTICS - AHCI(N/A); LINGUISTICS - SSCI(Q2)
Tropical Conservation Science,1940-0829,1.721,1940-0829,BIODIVERSITY CONSERVATION - SCIE(Q3)
Australian Journal of Primary Health,1448-7527,1.72,1836-7399,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4); PRIMARY HEALTH CARE - SCIE(Q4); HEALTH POLICY & SERVICES - SSCI(Q4); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4); HEALTH CARE SCIENCES & SERVICES - SCIE(Q4)"
Australian Endodontic Journal,1329-1947,1.719,1747-4477,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q4)"
Molecular & Cellular Toxicology,1738-642X,1.718,2092-8467,TOXICOLOGY - SCIE(Q4)
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,1226-4512,1.718,2093-3827,PHARMACOLOGY & PHARMACY - SCIE(Q4); PHYSIOLOGY - SCIE(Q4)
ARTIFICIAL LIFE,1064-5462,1.717,1530-9185,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q3); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q4)"
SCIENTIST,0890-3670,1.717,1547-0806,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q3); MULTIDISCIPLINARY SCIENCES - SCIE(Q3)
PSYCHOLOGICA BELGICA,0033-2879,1.717,0033-2879,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q3)"
CORONARY ARTERY DISEASE,0954-6928,1.717,1473-5830,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4)
JOURNAL OF FORENSIC SCIENCES,0022-1198,1.717,1556-4029,"MEDICINE, LEGAL - SCIE(Q3)"
INTERNATIONAL JOURNAL OF SOCIAL WELFARE,1369-6866,1.717,1468-2397,SOCIAL WORK - SSCI(Q4)
DEVIANT BEHAVIOR,0163-9625,1.716,1521-0456,"CRIMINOLOGY & PENOLOGY - SSCI(Q3); SOCIOLOGY - SSCI(Q3); PSYCHOLOGY, SOCIAL - SSCI(Q4)"
BIOMETRICAL JOURNAL,0323-3847,1.715,1521-4036,STATISTICS & PROBABILITY - SCIE(Q2); MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q4)
CHEMISTRY LETTERS,0366-7022,1.715,1348-0715,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q4)"
Annals of Indian Academy of Neurology,0972-2327,1.714,1998-3549,CLINICAL NEUROLOGY - SCIE(Q4)
International Journal of Advanced Robotic Systems,1729-8814,1.714,1729-8814,ROBOTICS - SCIE(Q4)
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,1386-2073,1.714,1875-5402,"CHEMISTRY, APPLIED - SCIE(Q3); PHARMACOLOGY & PHARMACY - SCIE(Q4); BIOCHEMICAL RESEARCH METHODS - SCIE(Q4)"
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1.714,1558-4593,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3)"
Data Technologies and Applications,2514-9288,1.713,2514-9318,"INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q3); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q4)"
REVIEW OF ECONOMIC DYNAMICS,1094-2025,1.712,1096-6099,ECONOMICS - SSCI(Q3)
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,0932-0784,1.712,1865-7109,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q3); CHEMISTRY, PHYSICAL - SCIE(Q4)"
China Review-An Interdisciplinary Journal on Greater China,1680-2012,1.712,1680-2012,AREA STUDIES - SSCI(Q2)
Revista da Associacao Medica Brasileira,N/A,1.712,1806-9282,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
JOURNAL OF INVASIVE CARDIOLOGY,1042-3931,1.711,1557-2501,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q4)
Acta Polytechnica Hungarica,1785-8860,1.711,1785-8860,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)"
ECONOMIC INQUIRY,0095-2583,1.71,1465-7295,ECONOMICS - SSCI(Q3)
Race and Justice,2153-3687,1.71,2153-3687,ETHNIC STUDIES - SSCI(Q3); CRIMINOLOGY & PENOLOGY - SSCI(Q3)
ANNALS OF REGIONAL SCIENCE,0570-1864,1.709,1432-0592,ECONOMICS - SSCI(Q3); GEOGRAPHY - SSCI(Q4); REGIONAL & URBAN PLANNING - SSCI(Q4); ENVIRONMENTAL STUDIES - SSCI(Q4)
WOMEN & HEALTH,0363-0242,1.708,1541-0331,"WOMENS STUDIES - SSCI(Q3); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q4)"
Economic Change and Restructuring,1573-9414,1.708,1574-0277,ECONOMICS - SSCI(Q3)
AUSTRALIAN ARCHAEOLOGY,0312-2417,1.708,2470-0363,ARCHAEOLOGY - AHCI(N/A); ANTHROPOLOGY - SSCI(Q2)
ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,1292-8119,1.708,1262-3377,"MATHEMATICS, APPLIED - SCIE(Q2); AUTOMATION & CONTROL SYSTEMS - SCIE(Q4)"
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,0219-1997,1.708,1793-6683,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
World Trade Review,1474-7456,1.708,1475-3138,LAW - SSCI(Q2); INTERNATIONAL RELATIONS - SSCI(Q3); ECONOMICS - SSCI(Q3)
ANNALS OF SAUDI MEDICINE,0256-4947,1.707,1319-9226,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
European Review of Economic History,1361-4916,1.706,1474-0044,HISTORY OF SOCIAL SCIENCES - SSCI(Q1); ECONOMICS - SSCI(Q3)
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,1521-9437,1.706,1940-4344,PHARMACOLOGY & PHARMACY - SCIE(Q4); MYCOLOGY - SCIE(Q4)
Journal of the American Association for Laboratory Animal Science,1559-6109,1.706,1559-6109,VETERINARY SCIENCES - SCIE(Q2); ZOOLOGY - SCIE(Q2)
LASER PHYSICS LETTERS,1612-2011,1.704,1612-202X,"OPTICS - SCIE(Q3); PHYSICS, APPLIED - SCIE(Q3)"
RUSSIAN CHEMICAL BULLETIN,1066-5285,1.704,1573-9171,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q4)"
NEUROREPORT,0959-4965,1.703,1473-558X,NEUROSCIENCES - SCIE(Q4)
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,0018-9499,1.703,1558-1578,"NUCLEAR SCIENCE & TECHNOLOGY - SCIE(Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3)"
WOOD AND FIBER SCIENCE,0735-6161,1.703,0735-6161,"MATERIALS SCIENCE, PAPER & WOOD - SCIE(Q2); MATERIALS SCIENCE, TEXTILES - SCIE(Q3); FORESTRY - SCIE(Q3)"
Decision Analysis,1545-8490,1.703,1545-8504,MANAGEMENT - SSCI(Q4)
IRONMAKING & STEELMAKING,0301-9233,1.703,1743-2812,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q3)
JAPAN AND THE WORLD ECONOMY,0922-1425,1.703,1879-2006,ECONOMICS - SSCI(Q3)
SURFACE AND INTERFACE ANALYSIS,0142-2421,1.702,1096-9918,"CHEMISTRY, PHYSICAL - SCIE(Q4)"
REVISTA MEXICANA DE FISICA,0035-001X,1.702,0035-001X,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q3)"
POLITY,0032-3497,1.702,1744-1684,POLITICAL SCIENCE - SSCI(Q3)
CLINICAL PEDIATRICS,0009-9228,1.701,1938-2707,PEDIATRICS - SCIE(Q4)
Landscape Research,0142-6397,1.701,1469-9710,GEOGRAPHY - SSCI(Q4); ENVIRONMENTAL STUDIES - SSCI(Q4)
European Educational Research Journal,1474-9041,1.701,1474-9041,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,1048-9002,1.701,1528-8927,"ENGINEERING, MECHANICAL - SCIE(Q3); ACOUSTICS - SCIE(Q3); MECHANICS - SCIE(Q4)"
PHLEBOLOGY,0268-3555,1.701,1758-1125,PERIPHERAL VASCULAR DISEASE - SCIE(Q4)
BIOMETRICS,0006-341X,1.701,1541-0420,STATISTICS & PROBABILITY - SCIE(Q2); BIOLOGY - SCIE(Q3); MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q4)
Security Journal,0955-1662,1.701,1743-4645,CRIMINOLOGY & PENOLOGY - SSCI(Q3)
ACTA RADIOLOGICA,0284-1851,1.701,1600-0455,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q4)"
Psicologia-Reflexao e Critica,0102-7972,1.7,1678-7153,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q3)"
Social Justice Research,0885-7466,1.7,1573-6725,"SOCIOLOGY - SSCI(Q3); PSYCHOLOGY, SOCIAL - SSCI(Q4)"
EXPERIMENTAL TECHNIQUES,0732-8818,1.7,1747-1567,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - SCIE(Q3); MECHANICS - SCIE(Q4); ENGINEERING, MECHANICAL - SCIE(Q4)"
Human Factors and Ergonomics in Manufacturing & Service Industries,1090-8471,1.699,1520-6564,"ERGONOMICS - SSCI(Q4); ENGINEERING, MANUFACTURING - SCIE(Q4)"
Contemporary Politics,1356-9775,1.699,1469-3631,POLITICAL SCIENCE - SSCI(Q3)
European Zoological Journal,2475-0263,1.699,2475-0263,ZOOLOGY - SCIE(Q2)
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,0037-5497,1.699,1741-3133,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)"
NUCLEAR MEDICINE COMMUNICATIONS,0143-3636,1.698,1473-5628,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q4)"
Acta Medica Portuguesa,0870-399X,1.698,1646-0758,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
International Journal of Analytical Chemistry,1687-8760,1.698,1687-8779,"CHEMISTRY, ANALYTICAL - SCIE(Q4)"
ACTA OTO-LARYNGOLOGICA,0001-6489,1.698,1651-2251,OTORHINOLARYNGOLOGY - SCIE(Q4)
Research in Science & Technological Education,0263-5143,1.697,1470-1138,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)
JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,1341-8076,1.697,1447-0756,OBSTETRICS & GYNECOLOGY - SCIE(Q4)
AIP Advances,N/A,1.697,2158-3226,"PHYSICS, APPLIED - SCIE(Q3); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q4); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
Measurement Science Review,1335-8871,1.697,1335-8871,INSTRUMENTS & INSTRUMENTATION - SCIE(Q3)
Physiology International,2498-602X,1.697,2498-602X,PHYSIOLOGY - SCIE(Q4)
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0275-5947,1.696,1548-8675,FISHERIES - SCIE(Q3)
JOURNAL OF NEUROGENETICS,0167-7063,1.696,1563-5260,NEUROSCIENCES - SCIE(Q4); GENETICS & HEREDITY - SCIE(Q4)
JOURNAL OF FIRE SCIENCES,0734-9041,1.696,1530-8049,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)"
NEUROPEDIATRICS,0174-304X,1.696,1439-1899,CLINICAL NEUROLOGY - SCIE(Q4); PEDIATRICS - SCIE(Q4)
PETROLEUM SCIENCE AND TECHNOLOGY,1091-6466,1.695,1532-2459,"ENGINEERING, PETROLEUM - SCIE(Q2); ENGINEERING, CHEMICAL - SCIE(Q3); ENERGY & FUELS - SCIE(Q4)"
Mitochondrial DNA Part A,2470-1394,1.695,2470-1408,GENETICS & HEREDITY - SCIE(Q4)
PERCEPTION,0301-0066,1.695,1468-4233,"OPHTHALMOLOGY - SCIE(Q4); PSYCHOLOGY - SCIE(Q4); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q4)"
Mining Metallurgy & Exploration,2524-3462,1.695,2524-3470,MINING & MINERAL PROCESSING - SCIE(Q3); METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q3)
Journal on Multimodal User Interfaces,1783-7677,1.694,1783-8738,"COMPUTER SCIENCE, CYBERNETICS - SCIE(Q4); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q4)"
ANATOMICAL SCIENCE INTERNATIONAL,1447-6959,1.693,1447-073X,ANATOMY & MORPHOLOGY - SCIE(Q3)
JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,1479-3261,1.693,1476-4431,VETERINARY SCIENCES - SCIE(Q2)
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1.692,1784-3227,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q4)
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1.692,1557-7333,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q3)"
International Journal of Heritage Studies,1352-7258,1.692,1470-3610,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A); SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI(Q3)"
SOIL SCIENCE,0038-075X,1.692,1538-9243,SOIL SCIENCE - SCIE(Q4)
JOURNAL OF CRYPTOLOGY,0933-2790,1.691,1432-1378,"MATHEMATICS, APPLIED - SCIE(Q2); COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q3); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3)"
IET Optoelectronics,1751-8768,1.691,1751-8776,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q3); OPTICS - SCIE(Q3); TELECOMMUNICATIONS - SCIE(Q4)"
Development Southern Africa,0376-835X,1.691,1470-3637,DEVELOPMENT STUDIES - SSCI(Q4)
Japan Journal of Nursing Science,1742-7932,1.691,1742-7924,NURSING - SSCI(Q3); NURSING - SCIE(Q3)
Journal of Forensic and Legal Medicine,1752-928X,1.691,1532-2009,"MEDICINE, LEGAL - SCIE(Q3)"
Qualitative Social Work,1473-3250,1.691,1741-3117,SOCIAL WORK - SSCI(Q4)
SOCIOLOGICAL INQUIRY,0038-0245,1.69,1475-682X,SOCIOLOGY - SSCI(Q3)
Fossil Record,2193-0066,1.69,2193-0074,PALEONTOLOGY - SCIE(Q3)
BULLETIN OF MARINE SCIENCE,0007-4977,1.689,1553-6955,OCEANOGRAPHY - SCIE(Q3); MARINE & FRESHWATER BIOLOGY - SCIE(Q3)
Asia Europe Journal,1610-2932,1.689,1612-1031,INTERNATIONAL RELATIONS - SSCI(Q3)
ECOLOGICAL PSYCHOLOGY,1040-7413,1.688,1532-6969,"PSYCHOLOGY, EXPERIMENTAL - SSCI(Q4)"
JOURNAL OF MEDICAL SCREENING,0969-1413,1.687,1475-5793,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q4)"
International Journal of Cultural Policy,1028-6632,1.685,1477-2833,CULTURAL STUDIES - AHCI(N/A); CULTURAL STUDIES - SSCI(Q2)
INFORMATION TECHNOLOGY AND LIBRARIES,0730-9295,1.685,2163-5226,"INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q3); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q4)"
Canadian Journal of Urology,1195-9479,1.683,N/A,UROLOGY & NEPHROLOGY - SCIE(Q4)
ADVANCED NONLINEAR STUDIES,1536-1365,1.682,2169-0375,"MATHEMATICS - SCIE(Q1); MATHEMATICS, APPLIED - SCIE(Q2)"
Methods in Enzymology,0076-6879,1.682,N/A,BIOCHEMICAL RESEARCH METHODS - SCIE(Q4); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)
ACTA CLINICA BELGICA,1784-3286,1.682,2295-3337,"MEDICINE, GENERAL & INTERNAL - SCIE(Q3)"
Hague Journal on the Rule of Law,1876-4045,1.682,1876-4053,LAW - SSCI(Q2)
REVIEW OF WORLD ECONOMICS,1610-2878,1.681,1610-2886,INTERNATIONAL RELATIONS - SSCI(Q3); ECONOMICS - SSCI(Q3)
International Journal of Physical Modelling in Geotechnics,1346-213X,1.68,2042-6550,"ENGINEERING, GEOLOGICAL - SCIE(Q4)"
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0035-9254,1.68,1467-9876,STATISTICS & PROBABILITY - SCIE(Q2)
TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,0020-2967,1.679,1745-9192,"METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q3); MATERIALS SCIENCE, COATINGS & FILMS - SCIE(Q4); ELECTROCHEMISTRY - SCIE(Q4)"
Annals of Public and Cooperative Economics,1370-4788,1.679,1467-8292,ECONOMICS - SSCI(Q3)
ANTIVIRAL THERAPY,1359-6535,1.679,2040-2058,VIROLOGY - SCIE(Q4); INFECTIOUS DISEASES - SCIE(Q4); PHARMACOLOGY & PHARMACY - SCIE(Q4)
RADIO SCIENCE,0048-6604,1.678,1944-799X,ASTRONOMY & ASTROPHYSICS - SCIE(Q3); GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3); TELECOMMUNICATIONS - SCIE(Q4); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q4); REMOTE SENSING - SCIE(Q4)
CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,0352-9568,1.677,1846-5153,"ENGINEERING, CHEMICAL - SCIE(Q3); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q4)"
ENT-EAR NOSE & THROAT JOURNAL,0145-5613,1.677,1942-7522,OTORHINOLARYNGOLOGY - SCIE(Q4)
Automated Software Engineering,0928-8910,1.677,1573-7535,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3)"
MEDICAL LETTER ON DRUGS AND THERAPEUTICS,0025-732X,1.677,1523-2859,PHARMACOLOGY & PHARMACY - SCIE(Q4)
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1.677,1175-8805,FISHERIES - SCIE(Q3); OCEANOGRAPHY - SCIE(Q3); MARINE & FRESHWATER BIOLOGY - SCIE(Q3)
ACM Transactions on Applied Perception,1544-3558,1.676,1544-3965,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3)"
HIV Research & Clinical Practice,2578-7489,1.676,2578-7470,PHARMACOLOGY & PHARMACY - SCIE(Q4); INFECTIOUS DISEASES - SCIE(Q4)
JOURNAL OF VETERINARY MEDICAL EDUCATION,0748-321X,1.676,1943-7218,"VETERINARY SCIENCES - SCIE(Q2); EDUCATION, SCIENTIFIC DISCIPLINES - SCIE(Q3)"
SEMINARS IN MUSCULOSKELETAL RADIOLOGY,1089-7860,1.675,1098-898X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q4)"
CUTIS,0011-4162,1.675,2326-6929,DERMATOLOGY - SCIE(Q4)
ADVANCES IN MATHEMATICS,0001-8708,1.675,1090-2082,MATHEMATICS - SCIE(Q1)
Journal of Superconductivity and Novel Magnetism,1557-1939,1.675,1557-1947,"PHYSICS, APPLIED - SCIE(Q4); PHYSICS, CONDENSED MATTER - SCIE(Q4)"
Empirical Studies of the Arts,0276-2374,1.675,1541-4493,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q3)"
ELECTRONIC LIBRARY,0264-0473,1.675,1758-616X,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q3)
ENGINEERING COMPUTATIONS,0264-4401,1.675,1758-7077,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4); MECHANICS - SCIE(Q4)"
Journal of Biomedical Semantics,2041-1480,1.675,2041-1480,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q4)
African Journalism Studies,2374-3670,1.673,2374-3689,COMMUNICATION - SSCI(Q4)
ADVANCED COMPOSITES LETTERS,0963-6935,1.673,2633-366X,"MATERIALS SCIENCE, COMPOSITES - SCIE(Q4)"
JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,1359-0987,1.673,1467-9655,ANTHROPOLOGY - SSCI(Q2)
R Journal,2073-4859,1.673,N/A,"STATISTICS & PROBABILITY - SCIE(Q2); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4)"
JOURNAL OF LIMNOLOGY,1129-5767,1.673,1723-8633,LIMNOLOGY - SCIE(Q4)
LATIN AMERICAN POLITICS AND SOCIETY,1531-426X,1.673,1548-2456,AREA STUDIES - SSCI(Q2); POLITICAL SCIENCE - SSCI(Q3); INTERNATIONAL RELATIONS - SSCI(Q3)
BioInvasions Records,2242-1300,1.672,2242-1300,BIODIVERSITY CONSERVATION - SCIE(Q3)
Scientific Programming,1058-9244,1.672,1875-919X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3)"
Journal of Forest Research,1341-6979,1.672,1610-7403,FORESTRY - SCIE(Q3)
PROSTHETICS AND ORTHOTICS INTERNATIONAL,0309-3646,1.672,1746-1553,ORTHOPEDICS - SCIE(Q3); REHABILITATION - SCIE(Q4)
Quality Assurance and Safety of Crops & Foods,1757-8361,1.672,1757-837X,FOOD SCIENCE & TECHNOLOGY - SCIE(Q4)
BEHAVIOUR,0005-7959,1.672,1568-539X,ZOOLOGY - SCIE(Q2); BEHAVIORAL SCIENCES - SCIE(Q4)
Theoretical Economics,1933-6837,1.671,1555-7561,ECONOMICS - SSCI(Q3)
JOURNAL OF DRUG ISSUES,0022-0426,1.67,1945-1369,SUBSTANCE ABUSE - SSCI(Q4)
JOURNAL OF EDUCATIONAL RESEARCH,0022-0671,1.67,1940-0675,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q4)
CRANIO-The Journal of Craniomandibular & Sleep Practice,0886-9634,1.67,2151-0903,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q4)"
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,1025-5842,1.669,1476-8259,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q4); ENGINEERING, BIOMEDICAL - SCIE(Q4)"
JOURNAL OF SMALL ANIMAL PRACTICE,0022-4510,1.669,1748-5827,VETERINARY SCIENCES - SCIE(Q2)
JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,0022-4707,1.669,1827-1928,SPORT SCIENCES - SCIE(Q4)
COLOR RESEARCH AND APPLICATION,0361-2317,1.668,1520-6378,"CHEMISTRY, APPLIED - SCIE(Q3); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE(Q4); OPTICS - SCIE(Q4)"
RUSSIAN JOURNAL OF INORGANIC CHEMISTRY,0036-0236,1.667,1531-8613,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q3)"
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,1025-6016,1.667,1477-2639,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q3); ENVIRONMENTAL SCIENCES - SCIE(Q4)"
Journal of Medical Imaging and Radiation Oncology,1754-9477,1.667,1754-9485,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q4)"
JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,1052-3928,1.667,1943-5541,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3); EDUCATION, SCIENTIFIC DISCIPLINES - SCIE(Q4)"
Multilingua-Journal of Cross-Cultural and Interlanguage Communication,0167-8507,1.667,1613-3684,LANGUAGE & LINGUISTICS - AHCI(N/A); LINGUISTICS - SSCI(Q2)
NUCLEAR TECHNOLOGY,0029-5450,1.667,1943-7471,NUCLEAR SCIENCE & TECHNOLOGY - SCIE(Q3)
JOURNAL OF BRYOLOGY,0373-6687,1.667,1743-2820,PLANT SCIENCES - SCIE(Q3)
EXPERIMENTAL PSYCHOLOGY,1618-3169,1.667,2190-5142,"PSYCHOLOGY, EXPERIMENTAL - SSCI(Q4)"
ADMINISTRATIVE LAW REVIEW,0001-8368,1.667,2326-9154,LAW - SSCI(Q2)
REGULAR & CHAOTIC DYNAMICS,1560-3547,1.667,1468-4845,"MATHEMATICS, APPLIED - SCIE(Q2); PHYSICS, MATHEMATICAL - SCIE(Q2); MECHANICS - SCIE(Q4)"
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1.667,1578-2735,NEUROSCIENCES - SCIE(Q4); PSYCHIATRY - SCIE(Q4)
JOURNAL OF CARBOHYDRATE CHEMISTRY,0732-8303,1.667,1532-2327,"CHEMISTRY, ORGANIC - SCIE(Q3); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4)"
Journal of Integrative Neuroscience,0219-6352,1.664,1757-448X,NEUROSCIENCES - SCIE(Q4)
Applied Bionics and Biomechanics,1176-2322,1.664,1754-2103,"ROBOTICS - SCIE(Q4); ENGINEERING, BIOMEDICAL - SCIE(Q4)"
GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,0883-6353,1.664,1520-6548,"ARCHAEOLOGY - AHCI(N/A); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q4)"
Postepy Dermatologii i Alergologii,1642-395X,1.664,2299-0046,DERMATOLOGY - SCIE(Q4); ALLERGY - SCIE(Q4)
NEUROLOGY INDIA,0028-3886,1.663,1998-4022,NEUROSCIENCES - SCIE(Q4)
Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S,1898-6196,1.663,2084-4549,ENVIRONMENTAL SCIENCES - SCIE(Q4)
